date,msl_m
1960-02-15,-0.177
1960-03-15,-0.21
1960-04-15,-0.116
1960-05-15,0.006
1960-06-15,-0.003
1960-07-15,-0.043
1960-08-15,0.018
1960-09-15,0.049
1960-10-15,-0.027
1960-11-15,-0.125
1960-12-15,-0.284
1961-01-15,-0.247
1961-02-15,-0.104
1961-03-15,-0.031
1961-04-15,-0.055
1961-05-15,-0.076
1961-06-15,-0.073
1961-07-15,-0.07
1961-08-15,-0.058
1961-09-15,-0.009
1961-10-15,-0.015
1961-11-15,-0.107
1961-12-15,-0.195
1962-01-15,-0.256
1962-02-15,-0.143
1962-03-15,0.012
1962-04-15,-0.18
1962-05-15,-0.034
1962-06-15,-0.043
1962-07-15,-0.052
1962-08-15,-0.006
1962-09-15,-0.018
1962-10-15,-0.034
1962-11-15,-0.034
1962-12-15,-0.201
1963-01-15,-0.238
1963-02-15,-0.308
1963-03-15,-0.159
1963-04-15,-0.143
1963-05-15,-0.143
1963-06-15,-0.067
1963-07-15,-0.095
1963-08-15,-0.104
1963-09-15,-0.009
1963-10-15,-0.101
1963-11-15,-0.116
1963-12-15,-0.305
1964-01-15,-0.241
1964-02-15,-0.265
1964-03-15,-0.165
1964-04-15,-0.186
1964-05-15,-0.116
1964-06-15,-0.119
1964-07-15,-0.091
1964-08-15,-0.046
1964-09-15,0.012
1964-10-15,-0.058
1964-11-15,-0.11
1964-12-15,-0.21
1965-01-15,-0.192
1965-02-15,-0.195
1965-03-15,-0.174
1965-04-15,-0.091
1965-05-15,-0.107
1965-06-15,-0.076
1965-07-15,-0.055
1965-08-15,-0.091
1965-09-15,-0.013
1965-10-15,-0.079
1965-11-15,-0.122
1965-12-15,-0.168
1966-01-15,-0.213
1966-02-15,-0.216
1966-03-15,-0.131
1966-04-15,-0.076
1966-05-15,-0.073
1966-06-15,-0.085
1966-07-15,-0.052
1966-08-15,-0.079
1966-09-15,0.043
1966-10-15,-0.116
1967-03-15,-0.177
1967-04-15,-0.098
1967-05-15,-0.067
1967-06-15,-0.058
1967-07-15,-0.043
1967-08-15,-0.022
1967-09-15,0.018
1967-10-15,-0.04
1967-11-15,-0.116
1967-12-15,-0.079
1968-01-15,-0.198
1968-02-15,-0.201
1968-03-15,-0.192
1968-04-15,-0.085
1968-05-15,-0.04
1968-06-15,-0.003
1968-07-15,-0.04
1968-08-15,-0.034
1968-09-15,0.012
1968-10-15,-0.079
1968-11-15,-0.082
1968-12-15,-0.265
1969-01-15,-0.232
1969-02-15,-0.183
1969-03-15,-0.143
1969-04-15,-0.143
1969-05-15,-0.091
1969-06-15,0.018
1969-07-15,0.027
1969-08-15,-0.021
1969-09-15,0.04
1969-10-15,0.006
1969-11-15,-0.034
1969-12-15,-0.18
1970-01-15,-0.238
1970-02-15,-0.226
1970-03-15,-0.149
1970-04-15,-0.058
1970-05-15,-0.116
1971-01-15,-0.195
1971-02-15,-0.131
1971-03-15,-0.159
1971-04-15,-0.07
1971-05-15,-0.018
1971-06-15,0.021
1971-07-15,-0.034
1971-08-15,-0.034
1971-09-15,0.061
1971-10-15,0.152
1971-11-15,0.067
1971-12-15,-0.137
1972-01-15,-0.162
1972-02-15,-0.177
1972-03-15,-0.082
1972-04-15,-0.018
1972-05-15,0.04
1972-06-15,0.033
1972-07-15,0.012
1972-08-15,0.027
1972-09-15,0.085
1972-10-15,0.003
1972-11-15,0.061
1972-12-15,-0.055
1973-01-15,-0.091
1973-02-15,-0.088
1973-03-15,-0.003
1973-04-15,-0.043
1973-05-15,0.03
1973-06-15,-0.024
1973-07-15,0.003
1973-08-15,0.03
1973-09-15,0.064
1973-10-15,0.033
1973-11-15,-0.18
1973-12-15,-0.165
1974-01-15,-0.061
1974-02-15,-0.104
1974-03-15,-0.155
1974-12-15,-0.082
1975-01-15,-0.159
1975-02-15,-0.095
1975-03-15,-0.098
1975-04-15,-0.198
1975-05-15,0.009
1975-06-15,-0.006
1975-07-15,0.0
1975-08-15,-0.015
1975-09-15,0.064
1975-10-15,0.061
1975-11-15,-0.003
1975-12-15,-0.073
1976-01-15,-0.177
1976-06-15,-0.027
1976-07-15,-0.049
1976-08-15,0.003
1976-10-15,-0.024
1976-11-15,-0.22
1977-01-15,-0.36
1977-02-15,-0.323
1977-03-15,-0.192
1977-04-15,-0.174
1977-05-15,-0.11
